train_node_idx,train_label,train_pred_label
909,2,1
301,2,1
138,2,1
449,2,1
150,1,1
780,2,1
851,2,1
153,2,1
502,2,1
739,2,1
883,1,1
176,2,1
390,2,1
904,1,1
206,2,1
327,2,1
867,2,1
226,2,1
708,2,1
543,2,1
558,2,1
652,2,1
755,1,1
928,2,1
172,1,1
217,0,1
915,2,1
852,2,1
681,2,1
597,2,1
201,2,1
671,1,1
850,0,1
601,2,1
875,2,1
461,1,1
163,2,1
263,2,1
553,2,1
698,2,1
522,2,1
264,2,1
600,2,1
184,1,1
229,1,1
585,1,1
485,1,1
249,2,1
246,1,1
281,2,1
251,2,1
800,2,1
463,2,1
929,1,1
353,2,1
219,2,1
345,2,1
624,2,1
469,1,1
776,2,1
663,2,1
319,1,1
604,2,1
676,2,1
925,2,1
899,2,1
399,2,1
632,1,1
694,2,1
839,2,1
279,0,1
400,2,1
385,2,1
292,2,1
830,2,1
364,2,1
374,2,1
914,2,1
560,2,1
873,0,1
362,2,1
748,2,1
477,2,1
122,2,1
151,2,1
360,1,1
545,2,1
392,2,1
712,2,1
276,2,1
132,2,1
459,2,1
309,2,1
130,2,1
370,2,1
299,2,1
237,1,1
211,1,1
165,2,1
765,2,1
148,2,1
699,2,1
617,2,1
255,2,1
425,2,1
235,2,1
403,0,1
672,2,1
433,2,1
680,2,1
697,2,1
655,2,1
225,2,1
306,2,1
508,2,1
535,2,1
173,0,1
369,2,1
770,1,1
922,0,1
552,2,1
588,2,1
856,1,1
534,2,1
336,2,1
419,1,1
920,2,1
435,0,1
871,2,1
286,2,1
391,2,1
556,2,1
659,2,1
431,2,1
587,2,1
438,2,1
692,2,1
437,1,1
701,0,1
796,2,1
719,1,1
468,2,1
870,2,1
656,2,1
607,2,1
648,2,1
503,2,1
640,2,1
799,2,1
492,2,1
669,2,1
918,2,1
627,1,1
348,2,1
355,1,1
208,2,1
547,2,1
144,2,1
557,2,1
687,1,1
278,2,1
312,2,1
394,1,1
515,2,1
855,2,1
906,2,1
709,2,1
351,2,1
540,2,1
685,2,1
453,2,1
271,0,1
178,2,1
631,2,1
616,2,1
344,2,1
542,2,1
578,1,1
496,2,1
705,0,1
377,2,1
518,2,1
577,0,1
473,2,1
412,2,1
476,2,1
493,2,1
499,2,1
550,2,1
757,2,1
910,2,1
446,2,1
792,1,1
291,2,1
420,2,1
155,2,1
646,0,1
241,2,1
819,1,1
660,2,1
574,2,1
386,2,1
661,2,1
668,2,1
801,2,1
429,2,1
387,2,1
622,2,1
741,1,1
859,2,1
559,2,1
439,2,1
401,2,1
315,2,1
726,1,1
575,2,1
615,2,1
320,2,1
927,2,1
521,2,1
204,2,1
728,2,1
222,2,1
216,1,1
501,2,1
715,2,1
384,2,1
310,2,1
626,2,1
233,2,1
810,2,1
772,2,1
618,0,1
221,2,1
569,2,1
234,2,1
599,0,1
371,2,1
548,2,1
472,2,1
442,0,1
454,0,1
821,2,1
710,1,1
141,2,1
189,1,1
637,2,1
838,2,1
254,2,1
152,2,1
127,2,1
450,2,1
825,1,1
716,1,1
396,2,1
782,2,1
288,2,1
520,2,1
823,2,1
297,2,1
608,1,1
430,2,1
725,2,1
432,2,1
303,2,1
820,1,1
168,2,1
732,2,1
298,0,1
525,2,1
146,0,1
